OriginCoilResistance;OriginContactGap;PistonPressure;Result;DebugMinPressure;DebugMaxPressure
195;24;5.846153846153847;Ok;5.538461538461538;6.153846153846154
227;39;8.16079295154185;Ok;7.7312775330396475;8.590308370044053
219;22;4.7716894977168955;Ok;4.52054794520548;5.0228310502283104
171;47;13.055555555555555;Ok;12.368421052631579;13.742690058479532
200;28;6.65;Ok;6.3;7
221;45;9.671945701357465;Ok;9.16289592760181;10.180995475113122
182;21;5.480769230769231;Ok;5.1923076923076925;5.769230769230769
170;34;9.5;Ok;9;10
170;43;12.014705882352942;Ok;11.382352941176471;12.647058823529411
183;36;9.344262295081968;Ok;8.852459016393443;9.836065573770492
195;38;9.256410256410255;Ok;8.76923076923077;9.743589743589743
207;38;8.719806763285025;Ok;8.26086956521739;9.178743961352657
180;33;8.708333333333332;Ok;8.25;9.166666666666666
198;41;9.835858585858585;Ok;9.318181818181818;10.353535353535353
183;31;8.046448087431694;Ok;7.622950819672131;8.469945355191257
224;57;12.087053571428573;Ok;11.450892857142858;12.723214285714286
208;50;11.41826923076923;Ok;10.817307692307692;12.01923076923077
229;45;9.33406113537118;Ok;8.842794759825328;9.825327510917031
216;39;8.57638888888889;Ok;8.125;9.027777777777779
197;50;12.055837563451776;Ok;11.421319796954315;12.690355329949238
170;25;6.985294117647058;Ok;6.617647058823529;7.352941176470588
210;43;9.726190476190474;Ok;9.214285714285714;10.238095238095237
175;46;12.485714285714286;Ok;11.82857142857143;13.142857142857142
222;26;5.563063063063063;Ok;5.27027027027027;5.8558558558558556
172;24;6.627906976744185;Ok;6.27906976744186;6.976744186046512
214;51;11.320093457943925;Ok;10.72429906542056;11.91588785046729
190;38;9.5;Ok;9;10
220;48;10.363636363636363;Ok;9.818181818181818;10.909090909090908
189;42;10.555555555555555;Ok;10;11.11111111111111
221;38;8.167420814479637;Ok;7.737556561085973;8.597285067873303
205;55;12.743902439024389;Ok;12.073170731707316;13.414634146341463
224;55;11.662946428571427;Ok;11.049107142857142;12.276785714285714
172;53;14.636627906976745;Ok;13.866279069767442;15.406976744186046
213;29;6.467136150234742;Ok;6.126760563380282;6.807511737089202
